IQ,CGPA,Communication_Skills,Projects_Completed
102,7.6,10,2
79,8.37,1,5
85,9.63,8,0
118,9.46,7,5
90,6.46,7,3
84,9.43,2,4
108,6.05,10,0
117,8.2,6,1
110,5.49,8,4
114,6.72,8,2
88,9.22,5,1
78,5.86,8,2
122,7.74,2,2
95,7.64,4,3
96,5.36,10,5
119,6.88,2,2
108,7.47,5,4
106,6.29,3,4
132,8.63,6,4
90,9.4,7,5
113,5.97,6,0
100,6.41,2,5
104,6.88,2,3
122,8.34,4,5
107,6.66,7,3
108,4.91,8,4
116,7.93,5,0
94,9.48,10,5
87,6.92,1,2
84,6.87,9,2
70,9.79,8,2
130,8.74,1,3
83,8.86,9,2
96,7.83,5,0
95,10.3,8,0
104,8.2,10,5
112,9.22,10,5
112,8.61,2,2
91,8.8,7,3
97,6.0,9,1
104,6.63,7,4
96,8.78,9,2
124,6.73,4,2
107,8.12,5,5
111,6.3,7,4
109,8.58,1,1
117,5.69,2,5
102,9.4,2,2
80,7.76,10,2
105,5.89,9,1
90,8.18,3,4
92,6.21,9,0
108,6.34,1,2
118,6.47,3,2
100,5.38,10,5
104,10.38,2,3
125,5.27,2,1
103,8.11,1,2
139,7.0,6,3
108,8.35,5,5
73,6.88,5,5
111,8.03,9,0
105,8.78,6,1
119,8.38,9,0
110,5.09,4,3
97,8.32,7,5
81,6.89,4,4
96,4.99,1,5
87,7.54,4,1
91,6.77,2,4
108,7.57,5,3
125,8.13,2,1
105,6.31,2,2
82,6.65,4,3
106,5.39,7,5
117,8.71,3,3
90,7.96,7,0
97,6.84,9,4
100,8.94,3,5
88,7.64,4,5
109,7.08,1,1
98,7.22,7,5
106,8.08,1,1
86,8.51,3,2
93,5.98,9,1
110,5.33,5,2
94,5.39,10,1
125,8.29,10,5
94,9.1,2,0
103,6.72,9,5
113,5.94,6,3
78,9.04,9,1
73,8.99,4,3
77,9.48,6,4
118,7.63,7,3
91,9.74,6,4
138,4.92,4,1
91,6.04,8,0
102,5.94,6,0
123,8.84,2,3
130,4.87,6,0
130,7.52,1,4
118,6.95,9,0
115,6.95,10,0
108,9.64,7,5
111,6.32,8,5
91,6.87,4,0
87,8.89,8,2
99,5.17,1,2
97,8.25,4,3
93,9.05,6,5
110,9.8,10,1
114,9.81,7,5
101,6.7,3,1
122,8.29,10,4
82,5.75,10,4
97,6.31,2,3
89,5.32,9,2
72,6.72,1,0
98,9.33,10,2
98,6.32,1,5
122,7.69,10,2
109,7.66,2,5
84,6.84,5,3
127,10.05,1,2
118,6.82,6,1
108,8.29,8,2
96,7.17,10,1
85,5.52,2,4
94,7.38,5,4
116,8.66,3,5
128,5.95,2,3
123,5.28,6,0
92,5.94,1,2
83,8.85,8,0
102,8.17,6,1
73,8.28,4,0
104,7.63,5,2
97,9.09,2,5
93,9.31,8,0
76,9.3,6,0
107,9.04,6,0
92,8.32,3,3
82,6.9,1,0
56,9.38,8,2
99,9.2,7,5
126,5.16,1,2
124,5.31,8,0
93,10.16,10,3
90,6.62,2,1
107,9.12,8,0
85,7.33,5,3
104,5.67,8,4
111,5.51,6,2
118,5.45,2,4
98,6.61,7,2
96,7.87,6,1
86,8.78,4,5
87,10.37,9,3
96,7.01,4,1
105,7.95,1,4
113,7.6,3,3
87,7.36,8,4
122,7.76,3,0
95,5.22,7,4
99,4.8,1,1
88,5.02,4,1
63,5.21,4,0
113,8.42,9,3
111,5.69,1,4
95,9.16,9,5
101,9.53,10,4
107,10.34,8,4
76,9.96,10,3
92,6.18,6,1
111,8.0,4,0
81,6.03,6,5
104,8.99,6,3
79,9.41,2,0
106,9.17,7,2
99,6.9,9,0
75,8.68,8,2
117,5.52,3,0
88,5.23,8,2
87,9.03,4,4
103,6.99,10,5
117,10.2,1,3
84,5.57,3,4
100,9.74,1,1
106,7.29,5,3
110,9.54,10,4
102,9.41,9,0
94,9.72,7,3
87,6.64,3,0
101,9.33,7,4
83,6.21,8,3
56,5.02,4,4
106,7.22,3,1
113,8.97,2,4
64,7.3,8,5
84,9.26,3,1
109,9.06,7,4
130,6.01,2,3
100,10.23,5,0
89,5.39,5,3
97,9.15,9,4
120,6.21,8,5
90,7.72,8,4
88,6.66,10,4
92,5.84,2,2
85,6.44,2,1
101,5.89,10,0
124,6.27,7,1
104,5.9,4,4
96,7.11,3,4
95,8.74,3,1
76,7.71,7,1
113,9.04,1,5
98,8.26,4,1
97,8.56,6,2
147,7.9,9,1
104,7.15,1,4
88,8.36,1,0
93,5.18,2,3
117,9.36,7,5
101,8.74,7,1
78,6.15,5,1
113,9.14,4,1
89,4.72,10,5
128,6.21,6,0
116,5.34,8,1
93,8.71,7,1
119,9.01,2,5
101,9.12,2,1
112,5.0,6,0
107,7.68,1,3
87,8.82,5,5
90,6.25,1,5
115,8.38,7,4
94,5.79,3,0
93,5.41,9,1
85,7.41,5,2
106,7.98,1,0
130,5.32,10,1
83,5.96,4,5
100,6.27,8,1
121,6.1,7,4
98,6.3,6,0
106,6.97,9,0
84,8.21,4,5
106,6.98,10,4
97,8.76,1,5
114,8.45,10,2
117,5.78,6,2
138,4.86,4,3
108,8.98,1,3
104,5.56,10,4
102,5.79,3,5
94,5.04,1,0
105,7.79,5,1
95,7.82,8,2
102,10.22,2,5
119,9.82,6,0
84,7.25,6,5
117,6.42,5,3
119,6.65,7,2
98,5.5,1,1
68,5.51,10,5
90,5.36,4,3
119,5.85,6,1
99,6.35,4,3
85,6.64,6,1
92,9.98,2,5
112,7.63,9,2
108,9.88,4,5
96,6.99,5,4
94,7.43,7,1
94,6.91,8,2
86,5.7,1,0
124,5.99,7,0
95,9.67,10,3
118,10.1,9,5
122,5.18,2,5
114,6.2,2,4
93,6.8,4,3
106,6.11,1,5
99,6.9,9,5
86,5.32,5,1
104,6.85,3,4
82,6.66,6,1
117,6.42,7,5
93,5.16,4,2
103,7.62,2,4
104,10.14,5,0
96,6.39,7,2
108,9.47,10,2
92,9.25,10,1
113,10.1,3,3
79,9.18,2,5
101,8.63,2,1
129,8.99,4,2
84,5.52,4,4
89,6.85,5,0
107,9.52,3,2
102,9.06,1,3
105,9.33,4,5
107,8.98,1,3
109,9.71,8,5
116,8.41,5,5
106,8.34,2,4
96,7.83,5,3
110,10.05,5,4
128,9.35,1,3
98,9.3,5,1
85,8.1,8,5
116,6.04,10,0
98,5.37,2,5
67,9.41,8,0
112,8.29,8,2
91,6.46,1,2
98,5.78,4,1
104,9.4,5,5
102,9.46,10,1
110,9.21,8,0
93,8.67,3,2
107,7.31,1,2
96,6.97,7,5
111,5.36,4,0
109,9.38,10,4
85,5.6,5,1
116,7.75,6,2
91,7.29,4,0
112,7.14,1,1
105,9.27,8,5
127,5.1,9,0
96,8.52,3,5
94,5.66,10,4
99,5.5,4,5
95,6.72,5,3
111,5.07,10,2
75,9.27,9,5
84,7.95,5,5
83,5.6,7,1
114,5.7,3,0
125,8.54,1,0
98,8.94,6,1
97,6.94,10,2
101,8.03,1,5
117,8.8,6,2
86,8.36,8,5
103,6.15,9,0
114,8.36,8,2
107,7.92,5,5
102,8.68,7,3
115,8.16,6,4
59,10.29,9,4
110,5.76,4,3
90,10.2,8,2
72,7.99,9,5
107,8.59,7,0
120,5.79,7,2
97,7.01,2,1
114,8.59,9,1
124,8.22,5,2
119,5.57,10,3
124,7.96,3,1
111,5.15,4,5
101,10.1,10,4
75,9.44,2,0
96,4.77,3,3
87,9.32,6,1
132,9.38,1,0
97,6.37,2,5
101,8.57,4,4
108,7.3,1,1
100,7.83,6,1
125,6.6,4,0
90,6.37,2,0
102,6.65,10,2
88,5.36,4,1
80,8.8,8,4
90,6.42,6,0
99,7.3,1,3
93,9.41,5,1
89,7.13,6,3
78,7.32,4,1
98,9.58,4,0
77,9.73,3,2
111,5.71,10,1
101,7.03,10,5
78,9.76,6,0
95,6.92,9,0
88,6.39,7,0
104,6.11,9,3
120,5.47,6,0
71,8.21,2,3
101,9.02,6,4
97,10.06,7,5
110,9.0,2,5
103,6.06,1,5
88,5.23,6,2
95,9.82,8,5
88,6.9,6,0
116,6.64,8,4
100,9.11,6,0
128,8.07,6,4
99,6.26,8,5
89,9.32,3,0
77,10.35,3,2
72,5.77,6,0
76,8.99,4,3
104,7.35,7,0
107,7.56,7,1
76,9.79,9,3
113,10.18,2,4
92,6.32,2,5
102,5.96,6,5
124,5.82,9,0
113,7.54,7,5
95,4.83,6,5
86,6.92,5,5
67,5.73,8,0
89,7.47,2,0
96,4.92,3,1
85,9.54,6,2
98,5.81,1,2
101,7.11,8,3
96,9.45,9,3
90,8.24,2,1
102,5.63,9,5
106,5.01,5,1
83,8.27,8,1
121,7.22,1,4
98,8.55,1,5
100,7.7,4,5
110,6.87,1,1
103,7.45,1,1
114,8.46,5,1
104,9.9,2,1
90,5.42,4,5
105,7.98,8,2
82,5.62,6,0
101,6.97,2,0
99,9.03,3,2
96,7.11,2,1
98,10.03,4,5
71,8.23,5,4
91,9.54,9,4
101,8.94,7,3
102,5.33,8,0
84,5.9,7,3
118,6.96,10,1
87,5.57,8,3
114,7.45,5,1
106,7.82,3,3
90,10.12,7,2
126,7.61,1,5
82,9.24,3,1
113,9.56,7,4
115,9.69,4,1
89,6.46,7,4
120,7.93,10,5
96,6.92,10,4
104,6.71,6,3
103,6.34,4,0
97,8.78,7,0
112,7.73,8,0
111,7.58,8,4
73,10.26,7,0
119,5.27,2,1
75,7.6,8,1
115,8.39,5,5
116,5.51,9,1
83,8.0,6,5
93,6.33,4,4
83,9.01,9,4
96,6.9,1,0
95,6.51,4,5
111,8.31,5,3
119,5.52,4,4
120,6.6,9,2
91,6.87,1,1
96,7.07,3,1
74,7.52,9,0
87,8.17,7,3
114,8.26,5,1
124,7.79,6,4
81,6.05,4,3
91,5.9,5,1
99,8.95,8,0
104,9.04,5,0
87,6.28,10,0
106,6.58,2,4
92,7.18,8,0
99,7.59,3,2
108,8.63,5,4
100,5.19,6,2
93,8.7,1,0
98,5.68,3,3
98,7.15,1,4
94,9.34,7,2
96,7.62,2,4
123,5.45,10,2
108,9.79,7,5
95,9.93,3,4
110,9.34,3,1
94,6.78,1,2
117,5.49,7,2
105,9.48,8,4
98,7.56,4,3
106,9.2,9,1
76,6.83,4,2
83,7.08,10,0
82,9.76,5,0
102,7.96,6,5
125,5.29,9,4
133,5.64,9,3
109,7.41,8,1
107,4.77,10,2
72,7.2,2,0
91,7.49,10,2
88,8.64,10,0
90,6.98,1,4
97,9.71,2,4
92,5.44,6,2
70,8.01,7,4
111,5.78,6,1
83,8.58,1,5
103,10.09,1,4
131,9.5,1,1
86,8.07,1,4
62,7.11,10,2
95,9.41,10,1
116,9.68,1,5
129,10.2,2,5
81,6.97,2,5
107,9.58,4,3
93,5.85,3,5
98,6.26,4,2
139,5.47,5,1
77,6.74,4,0
103,9.23,3,5
107,9.21,3,0
116,8.85,4,3
101,8.18,6,0
104,7.59,7,2
94,8.99,4,5
104,7.1,8,1
94,8.99,6,5
109,8.42,5,2
94,8.62,8,4
105,7.82,6,4
99,9.52,1,0
116,5.94,1,3
99,6.44,10,3
73,8.73,10,5
118,7.39,6,4
86,9.01,8,3
90,7.04,9,3
91,6.69,4,0
120,9.85,7,5
67,6.97,9,2
147,7.14,8,2
115,6.64,8,1
103,6.07,1,2
99,8.72,10,2
104,5.11,6,0
107,9.31,9,5
109,9.33,8,0
108,5.83,2,5
101,8.06,5,2
97,7.81,4,1
97,5.92,8,2
97,6.06,9,5
117,7.01,3,2
108,8.84,9,4
55,8.56,1,5
109,7.21,7,1
102,8.5,8,5
99,8.57,6,2
94,8.18,4,0
116,8.79,4,5
114,7.01,7,2
88,9.63,10,3
106,7.67,6,4
85,9.23,4,4
79,7.34,5,4
90,5.85,10,1
112,7.39,4,5
114,6.53,1,4
107,8.61,4,2
110,7.44,6,1
107,8.86,2,3
90,8.88,7,0
106,8.34,9,4
112,5.69,10,2
111,9.54,2,1
117,9.29,7,5
110,9.43,2,5
105,6.72,9,2
116,8.13,1,5
99,5.63,4,4
86,7.63,2,0
97,5.73,1,1
88,7.97,2,2
89,8.11,10,1
97,7.31,6,4
88,7.02,5,5
95,9.32,1,4
71,5.55,3,3
103,9.07,10,3
100,5.63,6,4
87,5.11,5,1
109,5.91,6,2
114,9.02,8,2
75,7.3,6,1
88,9.6,5,0
88,7.46,4,1
85,5.61,5,4
112,8.93,9,4
97,5.31,10,3
96,8.65,6,2
69,5.65,5,3
109,6.68,8,2
81,9.16,5,1
100,10.05,5,0
104,7.21,8,5
120,8.92,9,2
80,6.04,8,0
54,8.82,9,0
102,7.9,9,0
127,6.14,8,1
118,6.15,7,0
103,5.83,7,0
92,7.06,1,4
112,6.33,7,4
85,7.86,10,2
107,10.25,6,4
107,5.56,1,2
115,8.05,10,0
141,8.12,10,4
105,9.73,8,3
92,7.45,9,5
99,7.95,2,5
73,7.58,4,1
89,6.47,7,4
93,5.58,1,1
92,6.99,8,5
102,4.88,9,4
87,7.81,8,5
116,6.31,2,4
100,7.55,8,3
99,5.19,8,0
95,9.54,2,2
102,9.78,9,4
112,5.99,1,4
86,6.23,7,1
90,8.04,2,0
95,5.27,8,4
79,6.75,8,4
87,6.16,4,2
92,10.01,8,5
113,8.8,5,0
103,8.08,9,0
102,7.95,1,5
112,10.11,5,4
97,9.34,9,0
105,9.88,6,0
98,5.17,4,2
103,5.8,1,3
91,8.01,10,5
63,8.05,6,5
97,4.7,7,2
121,5.32,7,3
113,9.46,9,2
114,9.81,4,5
118,6.94,4,5
101,9.25,5,4
102,7.71,9,2
90,8.66,2,0
95,7.4,4,0
109,5.76,9,1
118,7.28,6,4
97,6.83,6,0
93,8.01,7,4
100,5.67,5,2
109,10.42,4,0
78,6.31,3,4
65,5.79,2,2
91,7.51,7,5
81,7.37,5,3
92,7.42,1,1
97,9.07,4,2
93,7.28,9,5
121,7.71,8,3
104,8.2,7,4
104,5.54,5,3
109,7.58,1,0
82,9.26,5,5
115,4.87,8,5
98,6.94,4,4
110,9.84,5,1
83,7.14,8,1
76,6.97,5,4
112,10.1,4,0
105,5.85,4,4
86,5.81,6,4
86,9.1,10,5
116,8.85,1,4
82,7.38,4,2
124,7.22,1,1
86,8.72,6,1
109,8.89,8,0
95,6.56,4,1
109,5.04,8,0
91,7.58,2,5
97,9.33,5,0
100,9.61,3,1
84,9.88,7,4
111,9.57,9,4
92,7.6,1,2
96,6.99,8,0
85,8.81,4,3
61,8.65,10,3
97,7.96,5,5
136,5.31,1,1
111,9.29,5,1
99,7.03,9,3
96,6.53,8,2
100,8.38,8,5
108,8.34,6,0
82,6.26,9,0
116,9.1,4,5
110,6.84,6,1
110,6.41,3,5
106,7.2,2,1
100,9.01,9,5
110,9.84,5,4
108,9.48,2,2
94,10.03,5,0
91,6.19,6,4
101,5.48,8,3
123,8.07,5,4
81,6.49,2,5
77,8.9,7,3
102,8.21,5,3
100,10.24,2,0
102,5.83,6,4
103,7.52,7,0
96,7.38,8,2
122,6.09,3,2
75,8.33,4,2
87,7.57,6,2
98,7.33,3,3
75,6.58,6,5
97,5.06,9,2
124,7.52,5,0
100,6.53,2,5
103,4.61,10,4
81,6.58,2,4
90,6.19,7,0
94,7.13,4,1
95,5.48,9,1
119,7.47,9,1
108,8.01,6,1
83,8.64,10,3
103,9.03,5,3
107,6.78,7,4
117,7.64,5,4
123,9.42,9,3
84,7.41,9,3
87,8.71,7,4
81,6.81,4,0
96,7.25,1,3
106,9.07,4,0
114,5.94,3,2
98,7.08,1,0
95,5.9,10,0
102,6.54,4,3
87,6.52,7,2
131,8.03,2,1
75,8.49,7,0
102,8.78,6,2
130,7.18,9,2
100,9.47,2,3
97,7.47,6,2
94,6.78,6,5
97,9.59,6,1
120,9.05,3,3
66,8.77,6,5
123,6.03,9,0
78,7.17,3,3
96,9.05,2,0
93,7.84,8,3
108,8.03,3,2
76,7.93,5,1
106,9.34,5,3
130,6.02,2,5
79,7.9,2,4
102,5.7,6,2
90,8.69,2,3
106,8.39,6,2
100,5.0,7,4
90,8.45,4,5
107,7.55,10,2
127,5.34,4,2
97,7.59,3,3
110,6.18,1,2
80,7.41,4,5
85,6.51,3,3
107,8.49,8,1
122,8.43,5,4
105,7.91,7,5
95,5.59,3,5
99,9.27,3,0
81,8.49,6,4
109,4.68,10,2
113,9.3,4,5
93,5.7,8,3
92,7.53,3,0
103,7.17,5,0
93,7.37,1,5
99,9.06,1,2
131,6.92,8,5
96,4.89,7,0
94,10.2,1,3
90,9.69,6,2
111,8.64,2,5
97,7.49,1,4
90,5.1,10,2
119,9.04,5,2
121,5.01,5,0
90,5.24,2,5
72,7.76,5,1
115,5.86,7,0
89,4.66,4,5
111,6.65,2,5
70,5.99,5,1
113,6.03,6,2
81,4.96,8,2
110,5.66,9,5
100,8.97,10,4
85,9.31,8,0
93,7.76,7,4
110,7.28,9,3
101,5.15,9,2
108,5.09,6,5
129,6.41,3,5
76,7.34,8,4
124,8.33,3,3
101,7.6,1,1
86,7.15,4,0
80,5.58,9,3
97,9.02,8,0
113,7.2,6,2
98,8.92,3,5
122,7.52,3,1
78,9.17,7,2
99,9.5,5,3
81,9.22,3,1
105,8.17,1,3
113,7.08,9,0
93,6.38,5,2
60,9.49,7,0
102,7.29,10,1
106,5.7,9,4
106,6.9,4,0
118,5.7,5,1
83,7.77,3,1
110,7.58,7,3
117,6.57,1,0
73,5.13,8,2
104,10.04,3,0
92,9.09,4,3
98,9.56,10,1
105,6.5,4,2
92,8.37,7,4
89,7.05,7,5
100,5.67,4,2
83,5.65,6,5
83,7.2,8,0
110,5.55,10,2
82,10.45,4,0
109,4.79,1,2
106,7.64,7,0
74,6.94,2,5
89,6.91,3,1
117,7.42,8,1
85,6.2,2,0
93,8.62,2,0
106,6.46,4,4
111,7.95,6,0
96,8.46,10,3
91,9.62,2,5
121,9.65,9,0
126,8.15,2,1
114,7.16,9,2
101,7.11,7,1
87,8.97,3,3
87,9.34,9,2
107,5.91,9,1
106,6.81,6,0
121,9.06,2,5
109,6.89,7,0
77,6.42,4,2
115,6.94,4,5
85,7.81,7,4
94,9.75,5,3
103,7.01,1,1
129,6.38,3,1
146,5.37,7,3
109,5.6,9,1
97,7.42,9,2
108,7.29,7,4
113,6.09,5,2
95,8.48,4,4
126,8.7,9,5
103,6.37,6,0
107,6.51,10,4
109,10.11,2,4
106,6.87,3,4
112,8.63,7,1
90,7.59,4,4
91,9.2,7,3
83,8.74,5,0
106,8.69,1,0
111,9.69,10,1
106,9.74,3,2
125,7.61,9,3
99,6.61,4,2
110,6.68,5,4
83,8.34,2,2
94,8.08,10,3
110,6.12,8,1
112,5.68,1,1
95,8.55,4,4
98,6.71,6,3
77,7.09,8,1
94,8.29,4,4
113,7.91,2,2
108,5.89,4,3
107,5.93,1,1
100,5.65,8,3
100,6.01,9,1
90,7.57,3,5
110,7.36,8,1
106,5.56,9,3
107,5.74,8,1
92,5.88,2,2
67,10.09,2,4
116,6.91,10,5
92,8.89,4,0
87,9.33,1,3
110,7.95,3,3
94,8.56,4,4
115,6.34,2,2
109,8.75,7,0
110,5.94,10,2
79,8.86,3,3
118,5.58,7,0
103,8.81,7,1
94,5.29,9,5
102,9.33,4,3
73,6.47,4,2
106,8.68,1,4
84,7.04,6,1
79,6.61,6,0
77,8.27,7,3
116,9.94,9,4
90,5.34,10,4
123,10.03,10,2
91,8.35,10,5
74,9.1,9,4
83,6.63,5,2
118,7.31,2,0
97,9.53,1,3
91,7.41,2,0
102,8.13,2,5
107,5.21,1,2
116,5.82,8,0
121,7.73,3,3
94,8.15,10,3
80,7.57,10,4
93,5.27,8,5
103,7.13,6,2
85,6.62,1,0
85,7.62,7,4
105,9.39,3,4
99,8.98,9,0
100,5.39,9,2
88,9.23,4,2
96,7.81,2,5
86,8.31,10,3
113,6.14,9,2
115,8.16,5,4
72,6.19,8,3
86,6.8,9,1
77,4.65,1,3
90,5.69,3,4
98,5.7,7,5
78,5.97,2,0
86,5.56,4,0
84,8.24,4,5
103,5.04,7,5
101,8.5,2,0
89,6.06,8,4
102,9.75,8,5
91,9.41,6,3
95,5.82,4,0
125,8.52,2,2
120,4.84,3,1
80,9.97,3,0
112,7.48,3,5
112,5.71,4,0
82,6.58,7,1
112,5.23,9,2
123,7.1,10,1
83,8.81,4,0
86,7.83,7,0
115,7.13,10,3
104,5.85,6,5
108,6.28,10,4
105,5.76,9,3
105,9.4,8,3
80,5.67,2,3
115,8.1,3,3
117,6.75,6,3
96,6.19,5,2
99,8.59,2,5
77,7.15,2,4
107,6.71,5,4
108,7.92,5,5
99,7.17,1,4
116,6.52,10,2
94,8.2,3,2
108,8.47,9,5
84,5.49,10,2
99,7.0,3,0
97,5.69,6,4
103,6.03,6,1
94,7.33,2,3
98,9.46,7,0
112,9.86,9,0
93,4.93,9,3
75,7.18,8,0
126,8.34,5,2
120,5.25,8,0
80,8.96,9,4
110,8.69,1,4
92,9.37,1,5
103,5.17,5,5
104,5.63,7,1
96,9.39,9,4
88,7.85,9,3
89,9.28,3,3
86,5.29,1,4
87,7.86,3,2
98,7.66,8,4
89,5.51,7,2
110,8.0,5,5
122,8.42,10,3
91,5.98,9,4
103,6.75,4,5
107,8.62,6,1
107,7.25,5,3
101,9.07,6,1
111,6.31,4,3
107,6.31,3,0
81,10.37,5,5
113,9.62,5,0
113,5.31,2,0
88,8.46,10,1
100,5.19,4,2
110,5.1,3,3
96,6.82,7,0
116,6.21,5,1
135,9.48,6,3
88,8.17,7,0
79,10.03,2,0
104,8.66,10,0
110,7.45,4,1
96,7.99,6,2
121,9.69,3,5
79,8.27,6,5
110,9.26,10,0
90,9.34,1,0
125,5.11,8,2
129,8.55,10,5
88,9.28,5,2
91,10.11,1,4
112,6.5,10,0
94,7.56,10,5
99,8.83,1,3
100,6.47,10,4
71,7.76,3,3
99,6.72,6,2
89,6.84,2,5
92,7.12,8,4
121,7.83,10,1
81,7.15,7,4
112,7.08,2,4
95,6.71,1,2
95,6.11,7,0
111,5.47,7,2
105,5.71,3,2
108,8.37,10,2
114,8.46,8,3
95,5.68,8,5
90,5.3,5,1
83,8.3,7,3
87,6.44,3,4
144,9.88,6,2
118,8.95,3,5
79,7.12,9,0
80,6.76,7,2
107,7.59,1,3
108,5.62,8,5
108,5.93,9,1
96,5.85,10,3
98,9.16,2,2
104,7.55,1,5
101,4.94,4,1
66,8.4,9,0
96,7.3,6,3
87,7.78,10,5
102,5.93,8,3
144,7.83,7,5
105,10.31,5,4
95,5.85,5,5
113,6.15,6,1
107,5.9,6,3
106,6.42,5,4
109,6.8,8,0
130,8.61,3,5
83,9.41,9,3
107,6.32,5,3
86,8.01,9,2
108,8.17,5,3
86,7.58,3,0
93,7.25,9,5
95,5.68,2,4
114,7.47,5,5
113,6.52,3,1
81,8.96,7,0
100,8.66,4,1
89,5.84,8,0
81,5.58,1,5
96,9.42,5,5
95,7.19,8,4
136,9.04,2,2
106,5.42,6,4
79,7.2,7,5
91,7.31,6,1
115,9.45,10,1
131,5.75,3,5
76,6.02,6,3
71,7.02,7,5
128,9.78,3,2
105,10.14,10,4
86,9.77,2,5
108,10.11,3,4
60,5.12,1,1
100,5.72,7,2
104,5.72,4,4
113,7.01,3,2
84,9.42,6,2
101,9.46,3,4
86,6.23,10,5
103,7.86,3,2
86,9.21,9,5
93,7.25,2,0
85,5.96,5,1
109,7.29,10,2
112,7.02,10,2
96,8.01,2,0
100,6.82,6,3
78,4.98,4,2
95,10.18,7,4
99,8.19,1,5
139,7.04,8,5
83,9.68,2,3
121,5.38,4,5
114,5.69,7,5
104,8.92,8,5
126,6.34,9,3
105,8.73,5,0
105,6.09,9,4
99,5.45,9,5
118,8.05,3,3
116,5.8,7,2
90,8.98,8,0
80,7.97,1,0
96,10.05,10,0
87,9.08,5,5
99,6.2,1,1
118,8.55,3,3
93,8.31,2,5
99,8.37,2,4
100,8.95,4,4
112,7.63,5,1
66,7.41,1,5
90,8.39,6,2
103,6.02,5,3
118,5.98,4,0
92,7.75,6,1
71,5.81,2,1
109,5.52,8,3
90,4.81,6,4
82,7.98,3,5
90,6.67,4,3
97,8.91,2,4
90,6.85,4,3
66,7.89,9,4
113,6.89,4,5
119,8.49,8,1
109,6.54,3,4
82,9.83,5,3
96,9.73,2,2
99,9.07,9,3
108,9.57,9,1
110,7.03,10,4
88,7.19,7,4
101,8.43,2,4
106,8.68,4,1
121,9.72,6,5
110,8.36,9,3
111,9.9,6,4
101,6.28,4,2
121,8.9,1,5
106,8.77,7,2
87,8.57,7,0
121,6.34,6,2
110,8.69,3,0
93,9.82,5,4
92,5.8,7,1
104,7.96,6,1
106,7.12,7,1
102,10.01,5,4
104,7.35,1,4
125,6.54,10,3
116,6.63,5,5
102,8.51,2,2
114,5.04,10,4
84,8.14,10,2
105,10.03,2,1
127,9.21,4,2
96,5.56,6,3
87,10.29,5,1
90,8.13,7,2
83,6.02,10,3
88,5.48,8,5
94,5.94,10,2
78,8.88,1,3
100,4.74,8,2
113,5.93,3,1
86,8.39,10,1
122,7.94,10,0
107,8.48,2,3
115,8.45,2,2
90,5.19,5,5
112,9.43,2,2
83,6.21,4,2
113,7.98,3,4
102,7.77,8,3
108,5.42,9,2
82,9.44,6,0
86,7.36,4,1
108,4.83,2,4
85,9.94,8,4
106,7.65,3,1
79,8.94,2,5
112,7.62,4,5
81,9.12,2,4
108,5.45,3,0
109,6.55,9,0
89,7.46,7,1
108,5.82,1,3
103,8.45,10,5
91,7.28,5,4
84,6.24,5,2
70,5.36,9,5
105,8.36,1,2
76,8.96,1,0
101,7.16,10,3
96,7.53,7,3
110,5.87,7,5
95,7.92,8,4
95,5.24,4,5
110,7.83,7,4
105,8.39,6,1
104,9.92,1,0
107,6.95,2,1
76,8.4,8,1
111,7.59,6,3
109,9.69,7,4
84,6.82,8,2
96,6.32,5,1
99,9.41,5,0
97,5.42,2,1
105,5.56,4,2
121,5.71,2,2
116,9.46,7,0
80,5.28,9,5
109,9.8,2,2
119,7.06,4,2
105,5.16,8,5
116,7.37,9,2
130,6.01,4,1
115,8.41,8,0
103,8.31,7,1
115,7.53,5,5
102,4.76,4,0
100,8.77,6,2
94,9.51,6,2
123,8.97,2,4
87,9.34,3,2
122,5.69,6,0
107,8.97,4,3
79,6.97,3,0
105,4.97,4,2
68,8.98,6,2
109,9.77,3,3
113,8.2,1,2
91,6.31,6,4
101,6.24,2,3
129,7.53,9,1
92,9.84,6,5
84,5.45,1,4
122,8.96,4,0
129,6.4,5,5
100,9.5,8,5
115,9.47,3,4
120,7.02,9,4
88,6.98,9,2
92,8.93,10,1
118,8.1,5,3
125,8.81,4,5
108,8.12,7,4
86,5.9,9,5
129,8.78,6,2
92,6.18,7,4
94,9.87,1,1
105,6.11,4,3
123,8.39,2,2
112,6.84,1,4
106,6.52,7,1
106,6.7,10,0
100,8.27,4,0
108,7.69,2,1
62,9.73,5,5
95,6.43,7,3
103,8.56,2,4
82,8.47,7,4
105,5.68,3,1
96,7.43,8,4
126,7.48,7,3
123,7.18,1,1
93,7.01,9,5
97,8.87,6,0
98,6.48,4,0
93,8.05,6,2
102,10.11,2,5
88,7.47,2,5
83,7.6,8,0
109,4.9,10,4
109,9.17,5,3
87,6.55,7,3
113,7.98,1,2
90,9.43,6,5
103,7.96,10,4
112,8.56,7,5
99,7.49,10,1
106,5.08,7,2
92,8.71,10,4
97,4.93,3,1
96,8.3,9,0
88,5.21,9,0
97,9.28,5,1
76,5.63,9,2
92,7.44,7,1
95,7.86,7,5
96,7.76,9,4
96,6.43,2,5
99,7.66,10,5
107,6.77,5,1
113,6.7,8,4
90,7.28,8,4
81,8.09,3,0
84,6.37,5,4
92,9.85,4,3
94,7.56,4,5
88,5.72,2,0
80,6.93,6,5
93,9.67,1,0
102,5.51,8,1
108,8.06,10,4
91,8.03,9,5
